,Владение1,Владение2,Удары по воротам1,Удары по воротам2,Удары в створ1,Удары в створ2,Удары мимо1,Удары мимо2,Фолы1,Фолы2,Угловые удары1,Угловые удары2,Штрафные удары1,Штрафные удары2,Вне игры1,Вне игры2,Команда1,Команда2,Голы1,Голы2,Результат
839,67,33,9,8,4,2,5,6,11,11,7,3,11,11,1,1,Арсенал , Кристал Пэлас,0,0,0
840,59,41,11,6,6,2,5,4,10,10,3,1,9,9,2,0,Вест Хэм , Вест Бромвич,2,1,1
841,36,64,8,8,6,5,2,3,7,16,6,3,16,7,1,3,Лестер , Челси,2,0,1
842,39,61,9,11,5,5,4,6,6,10,2,8,10,6,1,2,Фулхэм , Манчестер Юнайтед,1,2,2
843,71,29,16,6,6,4,10,2,11,8,12,0,7,10,1,6,Ливерпуль , Бернли,0,1,2
844,67,33,16,10,6,5,10,5,10,14,11,0,14,8,0,2,Вулверхэмптон , Вест Бромвич,2,3,2
845,45,55,10,5,4,2,6,3,12,9,7,4,9,11,5,1,Вест Хэм , Бернли,1,0,1
846,66,34,5,5,2,2,3,3,8,9,5,2,9,8,3,0,Лидс , Брайтон,0,1,2
847,31,69,8,13,3,6,5,7,11,10,1,12,10,11,1,3,Фулхэм , Челси,0,1,2
848,48,52,14,8,5,3,9,5,10,11,2,5,10,9,5,1,Лестер , Саутгемптон,2,0,1
849,42,58,8,9,5,5,3,4,13,4,5,7,4,13,4,1,Шеффилд Юнайтед , Тоттенхэм,1,3,2
850,65,35,9,5,3,4,6,1,15,6,7,3,6,15,1,8,Ливерпуль , Манчестер Юнайтед,0,0,0
851,72,28,9,1,6,0,3,1,9,8,11,1,6,8,0,0,Манчестер Сити , Кристал Пэлас,4,0,1
852,66,34,17,3,6,1,11,2,9,8,7,2,8,9,4,1,Арсенал , Ньюкасл,3,0,1
853,54,46,6,13,3,7,3,6,9,8,3,4,8,9,0,2,Кристал Пэлас , Вест Хэм,2,3,2
854,43,57,15,6,5,2,10,4,10,15,9,5,12,9,1,0,Ньюкасл , Лидс,1,2,2
855,58,42,10,9,5,5,5,4,11,6,4,5,6,11,2,2,Саутгемптон , Арсенал,1,3,2
856,23,77,3,11,1,7,2,4,8,8,3,8,7,8,0,1,Вест Бромвич , Манчестер Сити,0,5,2
857,39,61,8,15,5,10,3,5,16,7,2,4,6,16,3,2,Бернли , Астон Вилла,3,2,1
858,78,22,10,4,5,0,5,4,14,7,13,1,7,14,2,0,Челси , Вулверхэмптон,0,0,0
859,50,50,10,8,5,3,5,5,10,14,10,0,14,10,3,0,Брайтон , Фулхэм,0,0,0
860,75,25,9,4,4,3,5,1,10,12,7,2,12,10,0,5,Манчестер Юнайтед , Шеффилд Юнайтед,1,2,2
861,35,65,6,9,2,6,4,3,12,10,5,11,10,12,2,1,Эвертон , Лестер,1,1,0
862,50,50,3,13,2,7,1,6,9,11,1,2,10,7,2,2,Тоттенхэм , Ливерпуль,1,3,2
863,60,40,9,8,3,3,6,5,13,6,7,12,5,13,4,0,Эвертон , Ньюкасл,0,2,2
864,75,25,6,3,5,1,1,2,7,10,10,0,10,7,0,1,Манчестер Сити , Шеффилд Юнайтед,1,0,1
865,48,52,8,5,2,4,6,1,7,10,1,6,10,6,1,1,Кристал Пэлас , Вулверхэмптон,1,0,1
866,38,62,5,10,3,7,2,3,9,10,2,3,9,9,1,1,Вест Бромвич , Фулхэм,2,2,0
867,44,56,11,11,3,3,8,8,9,16,4,7,16,9,0,2,Арсенал , Манчестер Юнайтед,0,0,0
868,59,41,11,7,5,4,6,3,12,11,7,1,10,11,4,5,Саутгемптон , Астон Вилла,0,1,2
869,71,29,17,1,8,0,9,1,7,9,4,2,9,7,2,2,Челси , Бернли,2,0,1
870,50,50,12,7,8,7,4,0,17,16,6,4,16,17,2,2,Лестер , Лидс,1,3,2
871,33,67,5,11,2,5,3,6,7,8,6,5,4,6,2,1,Вест Хэм , Ливерпуль,1,3,2
872,44,56,12,5,5,4,7,1,11,11,9,2,11,11,1,1,Брайтон , Тоттенхэм,1,0,1
873,30,70,3,11,2,7,1,4,8,8,0,10,8,8,0,0,Эвертон , Манчестер Сити,1,3,2
874,46,54,8,7,3,3,5,4,7,13,5,5,13,7,6,0,Бернли , Фулхэм,1,1,0
875,47,53,11,11,7,5,4,6,11,13,2,4,12,11,1,2,Лидс , Саутгемптон,3,0,1
876,54,46,11,4,7,3,4,1,11,8,9,6,7,10,1,3,Вулверхэмптон , Арсенал,2,1,1
877,68,32,10,6,6,4,4,2,11,9,9,2,9,11,0,3,Шеффилд Юнайтед , Вест Бромвич,2,1,1
878,61,39,15,5,5,3,10,2,14,11,9,1,9,13,1,2,Ньюкасл , Кристал Пэлас,1,2,2
879,74,26,19,3,14,1,5,2,11,6,5,3,6,10,3,2,Манчестер Юнайтед , Саутгемптон,9,0,1
880,57,43,5,7,1,5,4,2,17,10,5,2,10,16,1,3,Фулхэм , Лестер,0,2,2
881,26,74,2,7,0,6,2,1,8,5,1,3,5,8,3,2,Бернли , Манчестер Сити,0,2,2
882,63,37,13,10,7,6,6,4,12,12,7,1,12,12,0,1,Лидс , Эвертон,1,2,2
883,56,44,7,14,2,10,5,4,11,16,7,3,16,10,1,1,Астон Вилла , Вест Хэм,1,3,2
884,63,37,5,11,1,4,4,7,12,6,6,3,6,12,0,3,Ливерпуль , Брайтон,0,1,2
885,42,58,7,9,2,2,5,7,20,14,2,7,14,20,0,3,Тоттенхэм , Челси,0,1,2
886,34,66,11,9,8,3,3,6,12,12,3,7,11,11,1,0,Астон Вилла , Арсенал,1,0,1
887,27,73,5,10,4,5,1,5,11,14,0,7,14,11,3,5,Ньюкасл , Саутгемптон,3,2,1
888,54,46,14,8,7,2,7,6,8,10,8,7,9,8,3,0,Бернли , Брайтон,1,1,0
889,60,40,14,7,2,1,12,6,11,10,7,3,10,10,1,4,Фулхэм , Вест Хэм,0,0,0
890,62,38,11,6,5,3,6,3,14,10,5,1,9,14,0,4,Манчестер Юнайтед , Эвертон,3,3,0
891,65,35,10,4,6,1,4,3,16,12,8,0,12,16,1,4,Тоттенхэм , Вест Бромвич,2,0,1
892,44,56,7,8,1,3,6,5,11,15,8,2,14,10,0,1,Вулверхэмптон , Лестер,0,0,0
893,55,45,5,8,3,5,2,3,13,8,6,1,8,13,1,2,Ливерпуль , Манчестер Сити,1,4,2
894,32,68,6,7,3,3,3,4,8,8,1,8,8,8,2,2,Шеффилд Юнайтед , Челси,1,2,2
895,68,32,14,5,7,3,7,2,7,8,5,3,7,7,1,1,Лидс , Кристал Пэлас,2,0,1
896,38,62,10,7,6,4,4,3,7,6,2,12,6,6,2,1,Лестер , Ливерпуль,3,1,1
897,53,47,6,10,3,4,3,6,15,14,7,4,14,15,3,1,Кристал Пэлас , Бернли,0,3,2
898,60,40,10,5,6,3,4,2,12,13,4,2,13,12,1,0,Манчестер Сити , Тоттенхэм,3,0,1
899,58,42,16,2,9,1,7,1,16,12,9,2,12,14,0,3,Брайтон , Астон Вилла,0,0,0
900,51,49,6,7,3,4,3,3,10,9,4,6,9,8,6,1,Саутгемптон , Вулверхэмптон,1,2,2
901,27,73,7,7,3,7,4,0,13,10,4,5,10,12,2,3,Вест Бромвич , Манчестер Юнайтед,1,1,0
902,46,54,8,7,5,5,3,2,8,17,4,5,15,8,2,0,Арсенал , Лидс,4,2,1
903,50,50,5,9,2,3,3,6,7,16,5,4,16,7,3,2,Эвертон , Фулхэм,0,2,2
904,46,54,12,7,9,5,3,2,11,12,7,7,12,11,1,1,Вест Хэм , Шеффилд Юнайтед,3,0,1
905,65,35,13,8,6,4,7,4,9,13,10,5,12,8,0,2,Челси , Ньюкасл,2,0,1
906,41,59,10,12,5,7,5,5,13,8,7,9,7,11,1,1,Вулверхэмптон , Лидс,1,0,1
907,30,70,4,7,1,3,3,4,10,10,3,6,10,9,0,4,Саутгемптон , Челси,1,1,0
908,62,38,5,9,1,3,4,6,16,10,5,5,9,15,4,3,Бернли , Вест Бромвич,0,0,0
909,71,29,13,9,6,6,7,3,10,10,7,2,10,10,2,2,Ливерпуль , Эвертон,0,2,2
910,65,35,13,4,7,2,6,2,11,14,6,4,14,10,1,3,Фулхэм , Шеффилд Юнайтед,1,0,1
911,31,69,4,17,4,4,0,13,14,7,5,7,7,11,1,0,Вест Хэм , Тоттенхэм,2,1,1
912,50,50,7,9,2,7,5,2,11,12,7,8,12,10,4,1,Астон Вилла , Лестер,1,2,2
913,45,55,4,9,1,3,3,6,11,9,1,3,8,11,1,3,Арсенал , Манчестер Сити,0,1,2
914,71,29,11,9,7,6,4,3,9,11,6,4,11,9,2,1,Манчестер Юнайтед , Ньюкасл,3,1,1
915,74,26,16,3,5,2,11,1,11,6,13,0,6,10,3,1,Брайтон , Кристал Пэлас,1,2,2
916,63,37,5,7,3,3,2,4,8,11,4,2,10,6,2,1,Манчестер Сити , Вест Хэм,2,1,1
917,30,70,5,13,2,6,3,7,11,13,7,4,11,8,1,0,Вест Бромвич , Брайтон,1,0,1
918,69,31,8,7,3,4,5,3,14,14,7,5,13,13,0,0,Лидс , Астон Вилла,0,1,2
919,48,52,13,11,7,4,6,7,11,13,3,5,13,10,2,0,Ньюкасл , Вулверхэмптон,1,1,0
920,45,55,5,8,3,4,2,4,15,3,2,7,3,14,0,1,Лестер , Арсенал,1,3,2
921,41,59,1,14,0,4,1,10,10,14,1,3,14,10,1,0,Кристал Пэлас , Фулхэм,0,0,0
922,58,42,14,7,7,3,7,4,6,10,3,4,10,6,0,0,Тоттенхэм , Бернли,4,0,1
923,57,43,11,6,6,4,5,2,11,12,3,4,12,11,1,3,Челси , Манчестер Юнайтед,0,0,0
924,40,60,6,12,2,8,4,4,9,9,4,3,9,9,3,1,Шеффилд Юнайтед , Ливерпуль,0,2,2
925,50,50,3,6,1,3,2,3,18,13,5,8,13,18,1,1,Астон Вилла , Тоттенхэм,0,2,2
926,47,53,3,5,1,1,2,4,13,9,4,10,9,13,4,0,Эвертон , Саутгемптон,1,0,1
927,42,58,9,9,5,3,4,6,5,12,2,4,10,4,2,2,Бернли , Арсенал,1,1,0
928,50,50,7,11,2,7,5,4,17,11,7,3,11,17,2,2,Шеффилд Юнайтед , Саутгемптон,0,2,2
929,50,50,6,8,1,2,5,6,13,13,5,3,13,12,3,0,Астон Вилла , Вулверхэмптон,0,0,0
930,37,63,5,8,2,4,3,4,14,8,6,6,7,10,4,1,Брайтон , Лестер,1,2,2
931,52,48,9,7,3,5,6,2,11,10,9,7,10,11,1,1,Вест Бромвич , Ньюкасл,0,0,0
932,63,37,14,8,3,3,11,5,10,8,9,4,6,10,3,1,Ливерпуль , Фулхэм,0,1,2
933,65,35,16,6,6,6,10,0,9,12,6,2,10,9,0,1,Манчестер Сити , Манчестер Юнайтед,0,2,2
934,64,36,9,4,5,1,4,3,8,17,1,5,16,8,1,4,Тоттенхэм , Кристал Пэлас,4,1,1
935,65,35,15,5,9,1,6,4,11,12,7,3,12,10,1,0,Челси , Эвертон,2,0,1
936,35,65,11,12,5,2,6,10,9,9,6,6,9,9,1,1,Вест Хэм , Лидс,2,0,1
937,50,50,7,10,3,6,4,4,10,10,2,2,9,9,0,4,Ньюкасл , Астон Вилла,1,1,0
938,38,62,4,10,4,8,0,2,16,6,8,5,6,16,5,3,Лидс , Челси,0,0,0
939,45,55,5,7,4,1,1,6,16,15,3,2,14,15,1,1,Кристал Пэлас , Вест Бромвич,1,0,1
940,65,35,9,11,4,5,5,6,9,6,7,4,6,8,2,1,Эвертон , Бернли,1,2,2
941,47,53,0,8,0,7,0,1,14,13,4,2,12,13,1,3,Фулхэм , Манчестер Сити,0,3,2
942,59,41,5,6,4,6,1,0,11,10,4,5,10,11,1,1,Саутгемптон , Брайтон,1,2,2
943,71,29,14,1,10,0,4,1,10,9,9,1,9,10,2,0,Лестер , Шеффилд Юнайтед,5,0,1
944,52,48,11,5,3,3,8,2,12,14,6,3,13,12,0,1,Арсенал , Тоттенхэм,2,1,1
945,61,39,8,3,4,0,4,3,12,2,6,3,2,12,0,2,Манчестер Юнайтед , Вест Хэм,1,0,1
946,52,48,7,9,5,4,2,5,17,10,3,2,10,16,2,1,Вулверхэмптон , Ливерпуль,0,1,2
947,72,28,14,3,10,1,4,2,9,5,10,2,5,8,3,1,Манчестер Сити , Вулверхэмптон,4,1,1
948,39,61,12,10,7,4,5,6,6,12,5,8,11,5,3,2,Бернли , Лестер,1,1,0
949,29,71,7,9,2,4,5,5,13,6,2,7,6,13,1,1,Шеффилд Юнайтед , Астон Вилла,1,0,1
950,37,63,5,7,2,1,3,6,4,13,4,6,13,4,1,2,Кристал Пэлас , Манчестер Юнайтед,0,0,0
951,49,51,6,5,3,3,3,2,9,7,3,3,6,7,3,2,Вест Бромвич , Эвертон,0,1,2
952,54,46,5,10,1,5,4,5,9,8,5,2,8,9,1,4,Ливерпуль , Челси,0,1,2
953,51,49,10,11,6,4,4,7,13,12,13,7,12,13,1,4,Фулхэм , Лидс,1,2,2
954,65,35,7,3,6,1,1,2,12,5,3,1,5,12,2,1,Брайтон , Ньюкасл,3,0,1
955,37,63,12,11,5,7,7,4,18,8,3,5,8,15,1,0,Вест Хэм , Арсенал,3,3,0
956,59,41,10,7,3,2,7,5,13,9,4,1,9,12,4,2,Фулхэм , Тоттенхэм,0,1,2
957,58,42,15,9,10,6,5,3,6,4,5,5,4,6,1,4,Манчестер Сити , Саутгемптон,5,2,1
958,61,39,8,8,3,5,5,3,10,14,5,5,14,10,2,0,Тоттенхэм , Саутгемптон,2,1,1
959,66,34,14,11,8,7,6,4,11,6,10,3,6,11,1,4,Челси , Вест Бромвич,2,5,2
960,54,46,17,5,8,1,9,4,12,13,5,7,11,12,1,1,Лидс , Шеффилд Юнайтед,2,1,1
961,44,56,4,10,2,4,2,6,13,12,1,1,12,13,3,1,Лестер , Манчестер Сити,0,2,2
962,36,64,2,13,2,7,0,6,10,10,1,2,10,10,0,3,Арсенал , Ливерпуль,0,3,2
963,53,47,12,7,9,5,3,2,11,10,6,7,10,10,0,1,Саутгемптон , Бернли,3,2,1
964,42,58,13,9,6,5,7,4,13,14,7,3,14,13,1,3,Ньюкасл , Тоттенхэм,2,2,0
965,52,48,9,12,4,7,5,5,14,20,4,4,19,13,5,2,Астон Вилла , Фулхэм,3,1,1
966,57,43,13,3,7,3,6,0,14,7,5,6,7,13,0,2,Манчестер Юнайтед , Брайтон,2,1,1
967,48,52,14,10,7,6,7,4,10,10,3,4,9,10,2,1,Эвертон , Кристал Пэлас,1,1,0
968,66,34,18,9,5,6,13,3,9,9,4,2,8,9,1,1,Вулверхэмптон , Вест Хэм,2,3,2
969,50,50,10,7,3,3,7,4,11,8,3,4,8,11,3,1,Фулхэм , Вулверхэмптон,0,1,2
970,71,29,18,2,7,2,11,0,12,15,9,3,15,12,2,3,Манчестер Сити , Лидс,1,2,2
971,66,34,16,9,10,5,6,4,16,11,7,0,11,15,2,2,Ливерпуль , Астон Вилла,2,1,1
972,36,64,1,16,1,10,0,6,7,12,0,8,11,6,1,2,Кристал Пэлас , Челси,1,4,2
973,57,43,18,7,4,5,14,2,11,12,13,3,11,11,0,2,Бернли , Ньюкасл,1,2,2
974,37,63,4,10,4,5,0,5,7,13,1,9,13,7,3,1,Вест Хэм , Лестер,3,2,1
975,47,53,9,9,3,7,6,2,11,15,7,5,15,11,3,1,Тоттенхэм , Манчестер Юнайтед,1,3,2
976,46,54,4,8,2,5,2,3,9,6,2,4,5,9,2,3,Шеффилд Юнайтед , Арсенал,0,3,2
977,40,60,12,14,6,4,6,10,12,11,5,10,11,12,4,2,Вест Бромвич , Саутгемптон,3,0,1
978,55,45,13,7,3,1,10,6,12,7,10,3,7,12,0,1,Брайтон , Эвертон,0,0,0
979,52,48,15,7,7,3,8,4,8,8,6,3,8,8,2,0,Эвертон , Тоттенхэм,2,2,0
980,35,65,9,10,8,6,1,4,9,7,3,8,7,8,2,0,Ньюкасл , Вест Хэм,3,2,1
981,48,52,8,4,5,2,3,2,8,15,3,3,15,8,2,2,Вулверхэмптон , Шеффилд Юнайтед,1,0,1
982,69,31,13,1,5,1,8,0,9,11,11,1,11,9,5,0,Арсенал , Фулхэм,1,1,0
983,69,31,13,7,9,3,4,4,9,12,8,3,10,9,2,4,Манчестер Юнайтед , Бернли,3,1,1
984,61,39,9,13,5,7,4,6,7,15,10,8,14,6,0,4,Лидс , Ливерпуль,1,1,0
985,64,36,6,6,4,2,2,4,8,9,0,3,8,8,3,0,Челси , Брайтон,0,0,0
986,28,72,6,10,3,3,3,7,12,7,1,11,7,11,1,2,Астон Вилла , Манчестер Сити,1,2,2
987,72,28,12,4,7,1,5,3,13,12,7,3,12,13,1,0,Лестер , Вест Бромвич,3,0,1
988,59,41,6,4,3,1,3,3,13,10,7,3,10,13,2,1,Арсенал , Эвертон,0,1,2
989,68,32,17,5,9,4,8,1,9,7,6,3,6,9,1,4,Ливерпуль , Ньюкасл,1,1,0
990,45,55,6,12,2,6,4,6,9,11,4,2,11,9,3,3,Вест Хэм , Челси,0,1,2
991,32,68,4,12,3,4,1,8,13,7,2,12,6,13,0,1,Шеффилд Юнайтед , Брайтон,1,0,1
992,59,41,7,13,2,7,5,6,8,9,8,5,8,8,2,2,Вулверхэмптон , Бернли,0,4,2
993,45,55,4,11,3,4,1,7,21,11,2,6,11,21,2,0,Лидс , Манчестер Юнайтед,0,0,0
994,70,30,18,9,11,4,7,5,14,9,11,4,9,14,2,1,Астон Вилла , Вест Бромвич,2,2,0
995,66,34,11,3,5,2,6,1,13,12,7,2,12,11,2,3,Лестер , Кристал Пэлас,2,1,1
996,30,70,3,18,3,9,0,9,9,13,0,10,12,9,1,5,Саутгемптон , Лестер,1,1,0
997,58,42,9,14,2,5,7,9,9,12,9,1,12,8,0,2,Астон Вилла , Эвертон,0,0,0
998,62,38,9,6,6,4,3,2,20,13,12,8,13,20,1,2,Саутгемптон , Кристал Пэлас,3,1,1
999,30,70,8,13,4,3,4,10,9,10,2,6,9,8,3,1,Кристал Пэлас , Манчестер Сити,0,2,2
1000,42,58,13,7,5,2,8,5,17,6,2,9,6,15,0,1,Брайтон , Лидс,2,0,1
1001,49,51,6,7,5,3,1,4,15,8,1,8,7,14,7,1,Челси , Фулхэм,2,0,1
1002,48,52,10,10,3,5,7,5,10,13,3,6,11,10,2,2,Эвертон , Астон Вилла,1,2,2
1003,39,61,4,15,1,5,3,10,10,9,3,7,9,10,1,1,Ньюкасл , Арсенал,0,2,2
1004,65,35,17,4,11,1,6,3,8,9,6,6,8,7,3,0,Тоттенхэм , Шеффилд Юнайтед,4,0,1
1005,43,57,9,16,4,10,5,6,17,11,5,6,10,16,1,2,Вест Бромвич , Вулверхэмптон,1,1,0
1006,45,55,6,16,3,4,3,12,4,8,5,4,8,4,2,2,Бернли , Вест Хэм,1,2,2
1007,53,47,11,13,3,8,8,5,10,12,6,4,10,9,1,1,Манчестер Юнайтед , Ливерпуль,2,4,2
1008,68,32,16,10,9,6,7,4,12,9,9,6,9,11,2,1,Лестер , Ньюкасл,2,4,2
1009,53,47,12,7,7,3,5,4,12,10,8,6,10,12,1,2,Лидс , Тоттенхэм,3,1,1
1010,50,50,6,15,0,8,6,7,11,8,5,11,8,10,2,1,Шеффилд Юнайтед , Кристал Пэлас,0,2,2
1011,49,51,10,9,4,5,6,4,12,10,6,2,10,12,1,5,Манчестер Сити , Челси,1,2,2
1012,54,46,11,10,6,6,5,4,10,6,8,4,6,10,4,1,Ливерпуль , Саутгемптон,2,0,1
1013,60,40,9,4,6,3,3,1,12,7,10,5,7,11,0,2,Вулверхэмптон , Брайтон,2,1,1
1014,42,58,8,11,5,7,3,4,13,18,5,6,17,12,0,0,Астон Вилла , Манчестер Юнайтед,1,3,2
1015,68,32,6,7,0,3,6,4,8,10,5,6,10,8,2,2,Вест Хэм , Эвертон,0,1,2
1016,65,35,12,8,7,1,5,7,7,9,6,6,8,7,1,2,Арсенал , Вест Бромвич,3,1,1
1017,68,32,14,11,3,5,11,6,11,10,8,4,8,11,4,1,Фулхэм , Бернли,0,2,2
1018,53,47,4,6,1,3,3,3,9,12,3,4,12,9,3,0,Манчестер Юнайтед , Лестер,1,2,2
1019,67,33,14,3,5,2,9,1,7,6,9,1,5,5,4,2,Челси , Арсенал,0,1,2
1020,18,82,8,13,5,6,3,7,11,10,4,5,10,10,0,0,Ньюкасл , Манчестер Сити,3,4,2
1021,49,51,12,11,4,6,8,5,10,10,6,8,10,10,2,6,Бернли , Лидс,0,4,2
1022,47,53,9,7,7,3,2,4,9,15,6,5,14,9,3,1,Саутгемптон , Фулхэм,3,1,1
1023,51,49,4,11,2,3,2,8,7,5,3,3,4,7,0,2,Брайтон , Вест Хэм,1,1,0
1024,46,54,11,13,8,5,3,8,23,13,7,7,13,23,2,2,Кристал Пэлас , Астон Вилла,3,2,1
1025,61,39,22,10,13,3,9,7,8,11,10,3,11,8,2,3,Тоттенхэм , Вулверхэмптон,2,0,1
1026,24,76,8,16,3,6,5,10,7,14,9,13,14,7,3,2,Вест Бромвич , Ливерпуль,1,2,2
1027,62,38,11,6,6,3,5,3,8,12,11,4,12,8,0,3,Эвертон , Шеффилд Юнайтед,0,1,2
1028,51,49,14,13,3,7,11,6,10,12,4,5,12,9,2,1,Саутгемптон , Лидс,0,2,2
1029,57,43,11,7,6,5,5,2,10,15,6,1,15,10,4,1,Манчестер Юнайтед , Фулхэм,1,1,0
1030,62,38,10,6,6,4,4,2,13,11,5,3,11,13,3,1,Брайтон , Манчестер Сити,3,2,1
1031,58,42,11,6,6,3,5,3,15,16,6,5,15,14,1,0,Челси , Лестер,2,1,1
1032,50,50,14,10,5,1,9,9,7,7,5,2,7,6,2,4,Ньюкасл , Шеффилд Юнайтед,1,0,1
1033,60,40,6,13,4,4,2,9,14,13,4,5,13,14,2,3,Тоттенхэм , Астон Вилла,1,2,2
1034,41,59,8,5,4,3,4,2,11,11,7,12,11,11,0,0,Эвертон , Вулверхэмптон,1,0,1
1035,32,68,10,4,6,3,4,1,7,7,6,7,6,6,3,2,Кристал Пэлас , Арсенал,1,3,2
1036,42,58,7,12,4,3,3,9,10,7,6,7,7,8,1,1,Бернли , Ливерпуль,0,3,2
1037,52,48,9,18,4,9,5,9,8,11,6,8,10,8,2,1,Вест Бромвич , Вест Хэм,1,3,2
1038,69,31,15,5,5,4,10,1,10,8,14,1,7,10,2,1,Ливерпуль , Кристал Пэлас,2,0,1
1039,64,36,7,7,0,4,7,3,12,6,5,4,6,12,1,0,Фулхэм , Ньюкасл,0,2,2
1040,53,47,12,4,5,1,7,3,10,8,11,3,8,10,2,1,Арсенал , Брайтон,2,0,1
1041,29,71,6,18,3,7,3,11,11,12,2,9,12,11,0,2,Астон Вилла , Челси,2,1,1
1042,64,36,12,11,9,5,3,6,12,12,8,3,11,12,3,3,Лидс , Вест Бромвич,3,1,1
1043,47,53,8,6,6,4,2,2,9,8,8,7,7,8,3,1,Лестер , Тоттенхэм,2,4,2
1044,67,33,17,5,11,3,6,2,8,10,7,5,10,8,1,1,Манчестер Сити , Эвертон,5,0,1
1045,43,57,10,6,3,3,7,3,11,1,8,9,1,11,2,1,Шеффилд Юнайтед , Бернли,1,0,1
1046,37,63,13,13,7,5,6,8,5,9,2,3,9,5,5,2,Вест Хэм , Саутгемптон,3,0,1
1047,57,43,10,9,4,4,6,5,14,3,6,2,3,14,1,1,Вулверхэмптон , Манчестер Юнайтед,1,2,2
